0	8030
叔	0246
取	0247
受	0248
口	0249
古	024A
句	024B
叩	024C
只	024D
叫	024E
召	024F
可	0250
台	0251
史	0252
右	0253
叶	0254
号	0255
司	0256
各	0257
合	0258
吉	0259
吊	025A
同	025B
名	025C
吐	025D
向	025E
君	025F
吠	0260
否	0261
含	0262
吸	0263
吹	0264
呂	0265
呆	0266
呈	0267
告	0268
呑	0269
呟	026A
周	026B
呪	026C
味	026D
呵	026E
呼	026F
命	0270
和	0271
咎	0272
咥	0273
咲	0274
咳	0275
哀	0276
品	0277
員	0278
哲	0279
唆	027A
唇	027B
唖	027C
唯	027D
唱	027E
唾	027F
商	0280
問	0281
啓	0282
善	0283
喉	0284
喋	0285
喚	0286
喜	0287
喝	0288
喧	0289
喩	028A
喪	028B
喫	028C
喰	028D
営	028E
嗅	028F
嗜	0290
嘆	0291
嘔	0292
嘘	0293
嘩	0294
噂	0295
噛	0296
器	0297
噴	0298
嚇	0299
囁	029A
囚	029B
四	029C
回	029D
因	029E
団	029F
困	02A0
囲	02A1
図	02A2
固	02A3
国	02A4
圏	02A5
園	02A6
土	02A7
圧	02A8
在	02A9
地	02AA
坂	02AB
均	02AC
坊	02AD
垂	02AE
型	02AF
埋	02B0
城	02B1
域	02B2
埠	02B3
執	02B4
培	02B5
基	02B6
堀	02B7
堂	02B8
堅	02B9
堕	02BA
堪	02BB
報	02BC
場	02BD
堵	02BE
塀	02BF
塊	02C0
塗	02C1
塞	02C2
填	02C3
塵	02C4
塹	02C5
境	02C6
墓	02C7
増	02C8
墜	02C9
壁	02CA
壇	02CB
壊	02CC
壌	02CD
壕	02CE
士	02CF
壮	02D0
声	02D1
売	02D2
変	02D3
夏	02D4
夕	02D5
外	02D6
多	02D7
夜	02D8
夢	02D9
大	02DA
天	02DB
太	02DC
夫	02DD
央	02DE
失	02DF
奇	02E0
奈	02E1
奉	02E2
奏	02E3
契	02E4
套	02E5
奥	02E6
奨	02E7
奪	02E8
奮	02E9
女	02EA
奴	02EB
好	02EC
如	02ED
妄	02EE
妊	02EF
妖	02F0
妙	02F1
妥	02F2
妨	02F3
妬	02F4
妹	02F5
妻	02F6
姉	02F7
始	02F8
姓	02F9
委	02FA
姜	02FB
姦	02FC
姫	02FD
姿	02FE
威	02FF
娘	0300
娠	0301
娯	0302
娼	0303
婆	0304
婚	0305
婦	0306
婿	0307
媒	0308
媚	0309
嫁	030A
嫉	030B
嫌	030C
嬉	030D
嬢	030E
子	030F
孔	0310
孕	0311
字	0312
存	0313
孝	0314
季	0315
孤	0316
学	0317
孫	0318
宅	0319
宇	031A
守	031B
安	031C
完	031D
宗	031E
官	031F
宙	0320
定	0321
宛	0322
宝	0323
実	0324
客	0325
宣	0326
室	0327
宮	0328
害	0329
宴	032A
宵	032B
家	032C
容	032D
宿	032E
寂	032F
寄	0330
密	0331
富	0332
寒	0333
寛	0334
寝	0335
察	0336
寡	0337
寧	0338
審	0339
寮	033A
寵	033B
寸	033C
対	033D
寿	033E
封	033F
専	0340
射	0341
将	0342
尊	0343
尋	0344
導	0345
小	0346
少	0347
尖	0348
尚	0349
就	034A
尻	034B
尼	034C
尽	034D
尾	034E
尿	034F
局	0350
屁	0351
居	0352
屈	0353
届	0354
屋	0355
展	0356
属	0357
層	0358
履	0359
山	035A
岐	035B
岩	035C
岬	035D
岸	035E
峠	035F
峰	0360
島	0361
崇	0362
崎	0363
崖	0364
崩	0365
嵐	0366
川	0367
州	0368
巡	0369
巣	036A
工	036B
左	036C
巧	036D
巨	036E
差	036F
己	0370
巷	0371
巻	0372
市	0373
布	0374
希	0375
帝	0376
師	0377
席	0378
帯	0379
帰	037A
帳	037B
常	037C
帽	037D
幅	037E
幕	037F
幣	0380
干	0381
平	0382
年	0383
幸	0384
幹	0385
幻	0386
幼	0387
幽	0388
幾	0389
庁	038A
広	038B
床	038C
序	038D
底	038E
店	038F
府	0390
度	0391
座	0392
庫	0393
庭	0394
康	0395
廃	0396
廉	0397
廊	0398
延	0399
廷	039A
建	039B
弁	039C
弄	039D
弊	039E
式	039F
弓	03A0
引	03A1
弟	03A2
弧	03A3
弱	03A4
張	03A5
強	03A6
弾	03A7
当	03A8
形	03A9
彩	03AA
彫	03AB
彰	03AC
影	03AD
彷	03AE
役	03AF
彼	03B0
往	03B1
征	03B2
待	03B3
徊	03B4
律	03B5
後	03B6
徐	03B7
徒	03B8
従	03B9
得	03BA
徘	03BB
御	03BC
徨	03BD
復	03BE
微	03BF
徳	03C0
徴	03C1
徹	03C2
心	03C3
必	03C4
忌	03C5
忍	03C6
志	03C7
忘	03C8
忙	03C9
応	03CA
忠	03CB
快	03CC
念	03CD
怒	03CE
怖	03CF
思	03D0
怠	03D1
急	03D2
性	03D3
怨	03D4
怪	03D5
怯	03D6
恋	03D7
恍	03D8
恐	03D9
恥	03DA
恨	03DB
恩	03DC
息	03DD
恰	03DE
恵	03DF
悔	03E0
悟	03E1
患	03E2
悩	03E3
悪	03E4
悲	03E5
悴	03E6
悼	03E7
情	03E8
惑	03E9
惚	03EA
惜	03EB
惨	03EC
惰	03ED
想	03EE
惹	03EF
愁	03F0
愉	03F1
意	03F2
愚	03F3
愛	03F4
感	03F5
慈	03F6
態	03F7
慌	03F8
慎	03F9
慕	03FA
慢	03FB
慣	03FC
慮	03FD
慰	03FE
憂	03FF
憎	0400
憐	0401
憑	0402
憔	0403
憧	0404
憩	0405
憫	0406
憲	0407
憶	0408
憾	0409
懐	040A
懲	040B
懸	040C
成	040D
我	040E
戒	040F
或	0410
威	0411
戦	0412
戯	0413
戸	0414
戻	0415
房	0416
所	0417
扁	0418
扇	0419
扉	041A
手	041B
才	041C
打	041D
払	041E
扱	041F
扶	0420
批	0421
承	0422
技	0423
抉	0424
把	0425
抑	0426
投	0427
抗	0428
折	0429
抜	042A
択	042B
披	042C
抱	042D
抵	042E
抹	042F
押	0430
抽	0431
担	0432
拍	0433
拐	0434
拒	0435
拓	0436
拗	0437
拘	0438
招	0439
拝	043A
拠	043B
拡	043C
括	043D
拭	043E
拳	043F
拶	0440
拷	0441
拾	0442
持	0443
指	0444
挑	0445
挙	0446
挟	0447
挨	0448
挫	0449
振	044A
挽	044B
挿	044C
捉	044D
捕	044E
捜	044F
捧	0450
捨	0451
据	0452
捲	0453
掃	0454
授	0455
掌	0456
排	0457
掘	0458
掛	0459
掟	045A
採	045B
探	045C
接	045D
控	045E
推	045F
措	0460
掲	0461
掴	0462
掻	0463
揃	0464
揄	0465
揉	0466
描	0467
提	0468
揚	0469
換	046A
握	046B
揮	046C
援	046D
揶	046E
揺	046F
損	0470
搬	0471
携	0472
搾	0473
摂	0474
摘	0475
摺	0476
撃	0477
撒	0478
撤	0479
撫	047A
撮	047B
撲	047C
憾	047D
擁	047E
操	047F
擦	0480
攫	0481
支	0482
改	0483
攻	0484
放	0485
政	0486
故	0487
敏	0488
救	0489
敗	048A
教	048B
敢	048C
散	048D
敬	048E
数	048F
整	0490
敵	0491
敷	0492
文	0493
斉	0494
斐	0495
料	0496
斜	0497
斡	0498
断	0499
新	049A
方	049B
施	049C
旅	049D
旋	049E
族	049F
旗	04A0
既	04A1
日	04A2
旦	04A3
旧	04A4
旨	04A5
早	04A6
旬	04A7
旺	04A8
昇	04A9
明	04AA
昏	04AB
易	04AC
昔	04AD
星	04AE
映	04AF
春	04B0
昧	04B1
昨	04B2
是	04B3
昼	04B4
時	04B5
晒	04B6
晩	04B7
普	04B8
景	04B9
晴	04BA
晶	04BB
暇	04BC
暑	04BD
暖	04BE
暗	04BF
暮	04C0
暴	04C1
曇	04C2
曖	04C3
曜	04C4
曲	04C5
更	04C6
書	04C7
曾	04C8
替	04C9
最	04CA
月	04CB
有	04CC
服	04CD
朗	04CE
望	04CF
朝	04D0
期	04D1
朦	04D2
朧	04D3
木	04D4
未	04D5
末	04D6
本	04D7
札	04D8
朴	04D9
机	04DA
朽	04DB
材	04DC
村	04DD
束	04DE
条	04DF
来	04E0
杯	04E1
東	04E2
板	04E3
析	04E4
枕	04E5
林	04E6
枚	04E7
果	04E8
枝	04E9
枠	04EA
枯	04EB
架	04EC
柄	04ED
染	04EE
柔	04EF
柩	04F0
柱	04F1
柵	04F2
査	04F3
栄	04F4
校	04F5
株	04F6
核	04F7
根	04F8
格	04F9
栽	04FA
桁	04FB
桃	04FC
案	04FD
桟	04FE
桶	04FF
梅	0500
械	0501
棄	0502
棍	0503
棒	0504
棚	0505
棟	0506
棺	0507
椅	0508
植	0509
検	050A
業	050B
楯	050C
極	050D
楽	050E
概	050F
榴	0510
構	0511
槌	0512
様	0513
槽	0514
標	0515
模	0516
権	0517
横	0518
樽	0519
橋	051A
機	051B
欄	051C
欠	051D
次	051E
欧	051F
欲	0520
欺	0521
歌	0522
歓	0523
止	0524
正	0525
武	0526
歩	0527
歪	0528
歯	0529
歳	052A
歴	052B
死	052C
殆	052D
殊	052E
残	052F
殖	0530
殲	0531
殴	0532
段	0533
殺	0534
殻	0535
殿	0536
殻	0537
母	0538
毎	0539
毒	053A
比	053B
毛	053C
毯	053D
氏	053E
民	053F
気	0540
水	0541
氷	0542
永	0543
氾	0544
汁	0545
求	0546
汗	0547
汚	0548
汰	0549
汲	054A
決	054B
沈	054C
沌	054D
沖	054E
沙	054F
没	0550
沢	0551
河	0552
沸	0553
油	0554
治	0555
沼	0556
沿	0557
況	0558
泄	0559
泉	055A
泊	055B
法	055C
泡	055D
波	055E
泣	055F
泥	0560
注	0561
泰	0562
泳	0563
洒	0564
洗	0565
洞	0566
洩	0567
活	0568
派	0569
流	056A
浄	056B
浅	056C
浜	056D
浣	056E
浪	056F
浮	0570
浴	0571
海	0572
浸	0573
消	0574
涙	0575
涛	0576
涜	0577
涯	0578
液	0579
涼	057A
淀	057B
淋	057C
淘	057D
淫	057E
深	057F
混	0580
淹	0581
添	0582
清	0583
済	0584
渉	0585
渋	0586
渓	0587
減	0588
渡	0589
渦	058A
温	058B
測	058C
港	058D
湖	058E
湧	058F
湯	0590
湾	0591
湿	0592
満	0593
源	0594
準	0595
溜	0596
溢	0597
溶	0598
溺	0599
滅	059A
滑	059B
滞	059C
滴	059D
漁	059E
漂	059F
漏	05A0
演	05A1
漕	05A2
漠	05A3
漫	05A4
漬	05A5
潔	05A6
潜	05A7
潤	05A8
潮	05A9
潰	05AA
激	05AB
濃	05AC
濡	05AD
濫	05AE
濯	05AF
瀾	05B0
火	05B1
灯	05B2
灰	05B3
灼	05B4
災	05B5
炎	05B6
炒	05B7
灸	05B8
炭	05B9
点	05BA
為	05BB
烈	05BC
焉	05BD
無	05BE
焦	05BF
然	05C0
焼	05C1
煉	05C2
煙	05C3
照	05C4
煩	05C5
煮	05C6
煽	05C7
熊	05C8
熟	05C9
熱	05CA
熾	05CB
燃	05CC
燎	05CD
燥	05CE
爆	05CF
爪	05D0
爵	05D1
父	05D2
爽	05D3
片	05D4
版	05D5
牙	05D6
牛	05D7
牢	05D8
牧	05D9
物	05DA
牲	05DB
特	05DC
犠	05DD
犬	05DE
犯	05DF
状	05E0
狂	05E1
狐	05E2
狙	05E3
狡	05E4
狩	05E5
独	05E6
狭	05E7
狼	05E8
猛	05E9
猥	05EA
猫	05EB
献	05EC
猾	05ED
猿	05EE
獄	05EF
獣	05F0
獲	05F1
玄	05F2
率	05F3
玉	05F4
王	05F5
珍	05F6
班	05F7
現	05F8
球	05F9
理	05FA
璧	05FB
環	05FC
瓦	05FD
瓶	05FE
甘	05FF
生	0600
産	0601
甥	0602
用	0603
田	0604
由	0605
甲	0606
申	0607
男	0608
町	0609
画	060A
界	060B
畑	060C
留	060D
略	060E
番	060F
異	0610
疎	0611
疑	0612
疫	0613
疲	0614
疾	0615
病	0616
症	0617
痒	0618
痕	0619
痛	061A
痢	061B
痩	061C
痴	061D
痺	061E
瘍	061F
療	0620
癇	0621
癌	0622
癒	0623
癖	0624
癪	0625
発	0626
登	0627
白	0628
百	0629
的	062A
皆	062B
皇	062C
皮	062D
雛	062E
皿	062F
益	0630
盗	0631
盛	0632
監	0633
盤	0634
目	0635
盲	0636
直	0637
相	0638
盾	0639
省	063A
眉	063B
看	063C
真	063D
眠	063E
眺	063F
眼	0640
着	0641
睡	0642
督	0643
睨	0644
睾	0645
瞑	0646
瞬	0647
瞭	0648
瞳	0649
矛	064A
矢	064B
知	064C
短	064D
矯	064E
石	064F
砂	0650
研	0651
砕	0652
砦	0653
砲	0654
破	0655
硝	0656
硬	0657
碑	0658
確	0659
磨	065A
礁	065B
礎	065C
礫	065D
示	065E
礼	065F
社	0660
祈	0661
祉	0662
祖	0663
祝	0664
神	0665
票	0666
祭	0667
禁	0668
禍	0669
福	066A
秀	066B
私	066C
秋	066D
科	066E
秒	066F
秘	0670
秩	0671
称	0672
移	0673
稀	0674
程	0675
税	0676
稚	0677
種	0678
