0	8030
尽	0253
尾	0254
局	0255
居	0256
屈	0257
届	0258
屋	0259
展	025a
層	025b
履	025c
山	025d
岸	025e
島	025f
崇	0260
州	0261
巣	0262
工	0263
左	0264
巨	0265
己	0266
巷	0267
市	0268
師	0269
帯	026a
帰	026b
常	026c
幕	026d
幣	026e
干	026f
年	0270
幸	0271
幹	0272
広	0273
底	0274
店	0275
府	0276
度	0277
座	0278
庫	0279
庭	027a
廃	027b
建	027c
弁	027d
式	027e
引	027f
弟	0280
張	0281
強	0282
弾	0283
当	0284
形	0285
彩	0286
影	0287
役	0288
彼	0289
待	028a
律	028b
後	028c
徒	028d
従	028e
得	028f
御	0290
復	0291
徴	0292
心	0293
必	0294
忘	0295
忙	0296
応	0297
忠	0298
快	0299
念	029a
怒	029b
怖	029c
思	029d
急	029e
性	029f
怪	02a0
恋	02a1
恐	02a2
恥	02a3
恩	02a4
息	02a5
悔	02a6
患	02a7
悩	02a8
悪	02a9
情	02aa
想	02ab
意	02ac
愛	02ad
感	02ae
態	02af
慢	02b0
慮	02b1
憎	02b2
憶	02b3
成	02b4
我	02b5
戦	02b6
戮	02b7
戻	02b8
房	02b9
所	02ba
手	02bb
才	02bc
打	02bd
払	02be
扱	02bf
技	02c0
抑	02c1
投	02c2
抗	02c3
折	02c4
抜	02c5
択	02c6
抱	02c7
押	02c8
担	02c9
拘	02ca
招	02cb
拠	02cc
拶	02cd
拾	02ce
持	02cf
指	02d0
挑	02d1
挨	02d2
振	02d3
捉	02d4
捕	02d5
捨	02d6
掃	02d7
掛	02d8
探	02d9
接	02da
掴	02db
揃	02dc
描	02dd
換	02de
援	02df
損	02e0
搭	02e1
携	02e2
搾	02e3
撃	02e4
撮	02e5
操	02e6
支	02e7
攻	02e8
放	02e9
政	02ea
故	02eb
救	02ec
敗	02ed
教	02ee
散	02ef
数	02f0
整	02f1
敵	02f2
敷	02f3
文	02f4
料	02f5
斬	02f6
断	02f7
新	02f8
方	02f9
旅	02fa
旋	02fb
族	02fc
日	02fd
早	02fe
昇	02ff
明	0300
昔	0301
星	0302
映	0303
昨	0304
時	0305
晩	0306
普	0307
景	0308
晴	0309
